Date,Category,Requests,Delivered,Opens,Unique Opens,Clicks,Unique Clicks,Unsubscribes,Bounces,Spam Reports,Blocks,Bounce Drops,Spam Report Drops,Unsubscribe Drops,Invalid Emails
2021-07-11,atlanta,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-12,atlanta,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-13,atlanta,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-14,atlanta,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-15,atlanta,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-16,atlanta,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-17,atlanta,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-18,atlanta,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-19,atlanta,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-20,atlanta,787,762,403,257,6,4,0,5,0,20,0,0,0,0
2021-07-21,atlanta,0,0,122,32,0,0,0,0,0,0,0,0,0,0
2021-07-22,atlanta,0,0,17,6,0,0,0,0,0,0,0,0,0,0
2021-07-23,atlanta,0,0,8,1,0,0,0,0,0,0,0,0,0,0
2021-07-24,atlanta,0,0,2,1,0,0,0,0,0,0,0,0,0,0
2021-07-25,atlanta,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2021-07-26,atlanta,0,0,6,3,0,0,0,0,0,0,0,0,0,0
2021-07-27,atlanta,0,0,2,1,0,0,0,0,0,0,0,0,0,0
2021-07-28,atlanta,0,0,3,2,0,0,0,0,0,0,0,0,0,0
2021-07-29,atlanta,0,0,6,2,0,0,0,0,0,0,0,0,0,0
2021-07-30,atlanta,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2021-07-31,atlanta,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-01,atlanta,0,0,2,1,0,0,0,0,0,0,0,0,0,0
2021-08-02,atlanta,0,0,4,1,0,0,0,0,0,0,0,0,0,0
2021-08-03,atlanta,0,0,2,1,0,0,0,0,0,0,0,0,0,0
2021-08-04,atlanta,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-05,atlanta,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2021-08-06,atlanta,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-07,atlanta,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-08,atlanta,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2021-08-09,atlanta,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-10,atlanta,0,0,0,0,0,0,0,0,0,0,0,0,0,0
